foundid,id,name,party,partyLabel,votes
,Q28834849,Gareth Snell,Q9630,Labour Party (UK),7853
,Q546131,Paul Nuttall,Q10647,UK Independence Party,5233
,Q30165535,Jack Brereton,Q9626,Conservative Party (UK),5154
,,Zulfiqar Ali,Q9624,Liberal Democrats (UK),2083
Q75975024,,Adam Colclough,Q9669,Green Party of England and Wales,294
,,Barbara Fielding,Q327591,Independent politician,137
Q76130516,,The Incredible Flying Brick,Q1421227,Official Monster Raving Loony Party,127
Q24035660,,David Furness,Q161269,British National Party,124
Q24035660,,David Furness,Q161269,British National Party,124
,,Godfrey Davies,Q5110023,Christian Peoples Alliance,109
,,Mohammad Akram,Q327591,Independent politician,56
